t_s,Vcell_V,ImA,coulombs,H2_pred_mL,relay
1310,2.032,3972.2,5283.1,669.4,1
1320,1.982,3917.7,5322.3,674.4,1
1330,2.024,4050.4,5362.8,679.5,1
1340,2.024,4000.4,5402.8,684.6,1
1350,1.965,4008.3,5442.9,689.6,1
1360,1.981,3921.8,5482.1,694.6,1
1370,1.983,4046.1,5522.5,699.7,1
1380,1.977,3954.9,5562.1,704.7,1
1390,1.996,3923.4,5601.3,709.7,1
1400,2.011,3941.0,5640.7,714.7,1
1410,2.010,3882.0,5679.5,719.6,1
1420,1.942,3967.9,5719.2,724.6,1
1430,1.992,4036.2,5759.6,729.8,1
1440,1.974,3888.5,5798.5,734.7,1
1450,1.986,4014.6,5838.6,739.8,1
1460,2.022,4039.0,5879.0,744.9,1
1470,2.010,4033.3,5919.3,750.0,1
1480,2.020,4066.7,5960.0,755.2,1
1490,1.937,4022.6,6000.2,760.3,1
1500,2.039,4044.8,6040.7,765.4,1
1510,1.986,3985.2,6080.5,770.4,1
1520,1.947,4097.0,6121.5,775.6,1
1530,2.073,4023.4,6161.7,780.7,1
1540,2.021,3953.6,6201.3,785.7,1
1550,1.996,4094.3,6242.2,790.9,1
1560,2.027,4028.1,6282.5,796.0,1
1570,1.997,3954.7,6322.0,801.0,1
1580,2.025,4014.6,6362.2,806.1,1
1590,1.994,3998.3,6402.2,811.2,1
1600,1.989,3949.2,6441.7,816.2,1
1610,2.003,4044.6,6482.1,821.3,1
1620,1.975,3957.3,6521.7,826.3,1
1630,2.034,4133.3,6563.0,831.6,1
1640,1.922,4031.9,6603.3,836.7,1
1650,2.014,4031.1,6643.7,841.8,1
1660,2.013,4084.2,6684.5,846.9,1
1670,2.016,3996.6,6724.5,852.0,1
1680,2.031,3902.8,6763.5,857.0,1
1690,1.979,4016.2,6803.7,862.0,1
1700,2.054,4066.3,6844.3,867.2,1
1710,1.980,3929.9,6883.6,872.2,1
1720,2.006,4014.6,6923.8,877.3,1
1730,1.971,3980.1,6963.6,882.3,1
1740,2.031,4106.0,7004.6,887.5,1
1750,1.960,3940.3,7044.0,892.5,1
1760,2.030,4085.2,7084.9,897.7,1
1770,2.024,4091.0,7125.8,902.9,1
1780,2.008,3956.4,7165.3,907.9,1
1790,1.978,3892.0,7204.3,912.8,1
1800,2.016,3997.1,7244.2,917.9,1
